Date,Close
14/4/10,60
15/4/10,60.57
16/4/10,59.88
19/4/10,59.48
20/4/10,60.48
21/4/10,60.09
22/4/10,59.55
23/4/10,59.88
26/4/10,57.91
27/4/10,56.33
28/4/10,57.34
29/4/10,52.56
30/4/10,52.15
3/5/10,50.19
4/5/10,51.2
5/5/10,50.99
6/5/10,50.33
7/5/10,49.06
10/5/10,48.75
11/5/10,48.74
12/5/10,48.5
13/5/10,48.1
14/5/10,46.87
17/5/10,46.57
18/5/10,45.38
19/5/10,45.27
20/5/10,44.58
21/5/10,43.86
24/5/10,41.86
25/5/10,42.56
26/5/10,42.41
27/5/10,45.38
28/5/10,42.95
1/6/10,36.52
2/6/10,37.66
3/6/10,39.27
4/6/10,37.16
7/6/10,36.76
8/6/10,34.68
9/6/10,29.2
10/6/10,32.78
11/6/10,33.97
14/6/10,30.67
15/6/10,31.4
16/6/10,31.85
17/6/10,31.71
18/6/10,31.76
21/6/10,30.33
22/6/10,29.68
23/6/10,29.67
24/6/10,28.74
25/6/10,27.02
28/6/10,27.05
29/6/10,27.67
30/6/10,28.88
1/7/10,29.39
2/7/10,29.35
6/7/10,31.91
7/7/10,33.19
8/7/10,33.74
9/7/10,34.05
12/7/10,36.76
13/7/10,36.88
14/7/10,36.18
15/7/10,38.92
16/7/10,37.1
19/7/10,35.75
20/7/10,35.2
21/7/10,36.13
22/7/10,36.23
23/7/10,36.86
26/7/10,38.65
27/7/10,38
28/7/10,37.71
29/7/10,38.47
30/7/10,38.47
2/8/10,39.42
3/8/10,40
4/8/10,39.39
5/8/10,40.68
6/8/10,41.33
9/8/10,40.86
10/8/10,40.11
11/8/10,38.79
12/8/10,38.38
13/8/10,38.93
16/8/10,38.4
17/8/10,38.05
18/8/10,37.3
19/8/10,36.24
20/8/10,36.4
23/8/10,36.12
24/8/10,34.92
25/8/10,35.25
26/8/10,35.42
27/8/10,35.56
30/8/10,35.26
31/8/10,34.83
1/9/10,36.16
2/9/10,36.57
3/9/10,37.43
7/9/10,37.19
8/9/10,38.37
9/9/10,38.02
10/9/10,38.22
13/9/10,38.35
14/9/10,38.52
15/9/10,38.18
16/9/10,38.27
17/9/10,38.03
20/9/10,38.68
21/9/10,38.59
22/9/10,38.09
23/9/10,38.13
24/9/10,38.46
27/9/10,38.71
28/9/10,39.29
29/9/10,40
30/9/10,41.17
1/10/10,41.95
4/10/10,40.82
5/10/10,41.33
6/10/10,41.61
7/10/10,41.52
8/10/10,41.92
11/10/10,41.24
12/10/10,41.26
13/10/10,41.41
14/10/10,41.02
15/10/10,40.62
18/10/10,41.49
19/10/10,40.94
20/10/10,41.1
21/10/10,40.65
22/10/10,40.5
25/10/10,40.21
26/10/10,40.65
27/10/10,40.1
28/10/10,40.6
29/10/10,40.8
1/11/10,40.77
2/11/10,41.42
3/11/10,42.37
4/11/10,43.91
5/11/10,43.79
8/11/10,43.23
9/11/10,43
10/11/10,43.53
11/11/10,43.68
12/11/10,42.99
15/11/10,43.04
16/11/10,41.78
17/11/10,41.6
18/11/10,42.21
19/11/10,42.03
22/11/10,41.64
23/11/10,40.89
24/11/10,41.47
26/11/10,40.93
29/11/10,40.59
30/11/10,40
1/12/10,40.62
2/12/10,41.32
3/12/10,41.49
6/12/10,42.81
7/12/10,42.89
8/12/10,43.27
9/12/10,42.79
10/12/10,43.24
13/12/10,43.43
14/12/10,44.44
15/12/10,43.86
16/12/10,43.75
17/12/10,43.25
20/12/10,43.68
21/12/10,43.54
22/12/10,43.61
23/12/10,44
27/12/10,43.97
28/12/10,44.11
29/12/10,43.95
30/12/10,43.89
31/12/10,44.17
3/1/11,45.15
4/1/11,46.26
5/1/11,46.5
6/1/11,46.23
7/1/11,46.08
10/1/11,46.03
11/1/11,46.83
12/1/11,47.69
13/1/11,47.54
14/1/11,49.25
18/1/11,49.23
19/1/11,48.2
20/1/11,47.57
21/1/11,47.61
24/1/11,48.08
25/1/11,47.21
26/1/11,46.76
27/1/11,46.68
28/1/11,46.21
31/1/11,47.47
1/2/11,47.98
2/2/11,47.13
3/2/11,46.58
4/2/11,46.03
7/2/11,46.54
8/2/11,46.79
9/2/11,45.83
10/2/11,45.93
11/2/11,45.8
14/2/11,46.69
15/2/11,47.05
16/2/11,47.3
17/2/11,48.1
18/2/11,47.93
22/2/11,47.03
23/2/11,47.58
24/2/11,47.38
25/2/11,48.1
28/2/11,48.47
1/3/11,47.6
2/3/11,47.74
3/3/11,48.21
4/3/11,48.56
7/3/11,48.15
8/3/11,47.81
9/3/11,47.41
10/3/11,45.66
11/3/11,45.75
14/3/11,45.07
15/3/11,43.77
16/3/11,43.25
17/3/11,44.68
18/3/11,45.11
21/3/11,45.8
22/3/11,45.74
23/3/11,46.23
24/3/11,46.81
25/3/11,46.87
28/3/11,46.04
29/3/11,44.78
30/3/11,44.58
31/3/11,44.14
1/4/11,45.66
4/4/11,45.89
5/4/11,46.73
6/4/11,46.86
7/4/11,46.95
8/4/11,46.74
11/4/11,46.67
12/4/11,45.3
13/4/11,45.4
14/4/11,45.54
15/4/11,44.96
18/4/11,44.47
19/4/11,44.68
20/4/11,45.91
21/4/11,46.03
25/4/11,45.98
26/4/11,46.32
27/4/11,46.53
28/4/11,46.28
29/4/11,46.14
2/5/11,45.92
3/5/11,44.8
4/5/11,44.38
5/5/11,43.48
6/5/11,44.28
9/5/11,44.87
10/5/11,44.98
11/5/11,43.96
12/5/11,43.58
13/5/11,42.93
16/5/11,42.46
17/5/11,42.8
18/5/11,43.27
19/5/11,43.89
20/5/11,45
23/5/11,44.03
24/5/11,44.37
25/5/11,44.71
26/5/11,45.38
27/5/11,45.54
31/5/11,46.24
1/6/11,45.34
2/6/11,45
3/6/11,44.63
6/6/11,43.94
7/6/11,44
8/6/11,43.49
9/6/11,44.24
10/6/11,43.08
13/6/11,42.69
14/6/11,43.47
15/6/11,41.95
16/6/11,41.8
17/6/11,42.16
20/6/11,41.84
21/6/11,43.4
22/6/11,43.11
23/6/11,42.58
24/6/11,41.9
27/6/11,42.25
28/6/11,42.76
29/6/11,43.47
30/6/11,44.29
1/7/11,44.62
5/7/11,44.21
6/7/11,43.91
7/7/11,44.54
8/7/11,44.51
11/7/11,43.84
12/7/11,43.41
13/7/11,43.74
14/7/11,44.34
15/7/11,44.33
18/7/11,44.31
19/7/11,44.96
20/7/11,45.76
21/7/11,46.04
22/7/11,46.2
25/7/11,46.77
26/7/11,46.18
27/7/11,44.92
28/7/11,45.05
29/7/11,45.44
1/8/11,45.13
2/8/11,43.61
3/8/11,43.18
4/8/11,40.52
5/8/11,40.93
8/8/11,38.19
9/8/11,39.99
10/8/11,38.29
11/8/11,39.7
12/8/11,40.17
15/8/11,41.65
16/8/11,40.97
17/8/11,40.9
18/8/11,39.32
19/8/11,38.46
22/8/11,38.35
23/8/11,39.83
24/8/11,39.55
25/8/11,37.47
26/8/11,38.19
29/8/11,39.25
30/8/11,39.39
31/8/11,39.39
1/9/11,37.79
2/9/11,36.53
6/9/11,36.39
7/9/11,37.29
8/9/11,37.08
9/9/11,36
12/9/11,36.43
13/9/11,36.45
14/9/11,38.29
15/9/11,39.52
16/9/11,39.69
19/9/11,38.61
20/9/11,38.77
21/9/11,36.9
22/9/11,35.73
23/9/11,35.86
26/9/11,36.93
27/9/11,37.94
28/9/11,36.43
29/9/11,37.01
30/9/11,36.07
3/10/11,35.22
4/10/11,35.42
5/10/11,36.7
6/10/11,36.78
7/10/11,37.11
10/10/11,38.31
11/10/11,38.36
12/10/11,38.63
13/10/11,38.75
14/10/11,39.88
17/10/11,40.17
18/10/11,41.11
19/10/11,40.78
